Opcode,M_Cycle,Label,Addr_Sel,Reg_Dest,Reg_Src,ALU_Op,IDU_Op,Mem_Read,Mem_Write,Is_Done
0xE8,3,"ADD SP,e M3",NONE,NONE,TEMP_Z,ADD_SP_E_LOW,NONE,0,0,0
0xE8,4,"ADD SP,e M4",NONE,NONE,TEMP_Z,ADD_SP_E_HIGH,NONE,0,0,1
0x07,1,RLCA M1,PC,NONE,NONE,RLCA,PC_INC,1,0,1
0x0F,1,RRCA M1,PC,NONE,NONE,RRCA,PC_INC,1,0,1
0x17,1,RLA M1,PC,NONE,NONE,RLA,PC_INC,1,0,1
0x1F,1,RRA M1,PC,NONE,NONE,RRA,PC_INC,1,0,1
0xCB,1,PREFIX CB M1,PC,NONE,NONE,NONE,PC_INC,1,0,1
0xC3,1,JP nn M1,PC,NONE,NONE,NONE,PC_INC,1,0,0
0xC3,2,JP nn M2,PC,TEMP_Z,REG_MEM,NONE,PC_INC,1,0,0
0xC3,3,JP nn M3,PC,TEMP_W,REG_MEM,NONE,PC_INC,1,0,0
0xC3,4,JP nn M4,WZ,NONE,NONE,NONE,WZ_TO_PC,0,0,1
0xE9,1,JP HL M1,PC,NONE,NONE,NONE,HL_TO_PC,1,0,0
0xC2,1,"JP NZ,nn M1",PC,NONE,NONE,NONE,PC_INC,1,0,0
0xC2,2,"JP NZ,nn M2",PC,TEMP_Z,REG_MEM,NONE,PC_INC,1,0,0
0xC2,3,"JP NZ,nn M3",PC,TEMP_W,REG_MEM,CHECK_CC,PC_INC,1,0,0
0xC2,4,"JP NZ,nn M4",NONE,NONE,NONE,NONE,WZ_TO_PC,0,0,1
0xCA,1,"JP Z,nn M1",PC,NONE,NONE,NONE,PC_INC,1,0,0
0xCA,2,"JP Z,nn M2",PC,TEMP_Z,REG_MEM,NONE,PC_INC,1,0,0
0xCA,3,"JP Z,nn M3",PC,TEMP_W,REG_MEM,CHECK_CC,PC_INC,1,0,0
0xCA,4,"JP Z,nn M4",NONE,NONE,NONE,NONE,WZ_TO_PC,0,0,1
0xD2,1,"JP NC,nn M1",PC,NONE,NONE,NONE,PC_INC,1,0,0
0xD2,2,"JP NC,nn M2",PC,TEMP_Z,REG_MEM,NONE,PC_INC,1,0,0
0xD2,3,"JP NC,nn M3",PC,TEMP_W,REG_MEM,CHECK_CC,PC_INC,1,0,0
0xD2,4,"JP NC,nn M4",NONE,NONE,NONE,NONE,WZ_TO_PC,0,0,1
0xDA,1,"JP C,nn M1",PC,NONE,NONE,NONE,PC_INC,1,0,0
0xDA,2,"JP C,nn M2",PC,TEMP_Z,REG_MEM,NONE,PC_INC,1,0,0
0xDA,3,"JP C,nn M3",PC,TEMP_W,REG_MEM,CHECK_CC,PC_INC,1,0,0
0xDA,4,"JP C,nn M4",NONE,NONE,NONE,NONE,WZ_TO_PC,0,0,1
0x18,1,JR e M1,PC,NONE,NONE,NONE,PC_INC,1,0,0
0x18,2,JR e M2,PC,TEMP_Z,REG_MEM,NONE,PC_INC,1,0,0
0x18,3,JR e M3,NONE,NONE,NONE,JR_ADD,NONE,0,0,1
0x20,1,"JR NZ,e M1",PC,NONE,NONE,NONE,PC_INC,1,0,0
0x20,2,"JR NZ,e M2",PC,TEMP_Z,REG_MEM,CHECK_CC,PC_INC,1,0,0
0x20,3,"JR NZ,e M3",NONE,NONE,NONE,JR_ADD,NONE,0,0,1
0x28,1,"JR Z,e M1",PC,NONE,NONE,NONE,PC_INC,1,0,0
0x28,2,"JR Z,e M2",PC,TEMP_Z,REG_MEM,CHECK_CC,PC_INC,1,0,0
0x28,3,"JR Z,e M3",NONE,NONE,NONE,JR_ADD,NONE,0,0,1
0x30,1,"JR NC,e M1",PC,NONE,NONE,NONE,PC_INC,1,0,0
0x30,2,"JR NC,e M2",PC,TEMP_Z,REG_MEM,CHECK_CC,PC_INC,1,0,0
0x30,3,"JR NC,e M3",NONE,NONE,NONE,JR_ADD,NONE,0,0,1
0x38,1,"JR C,e M1",PC,NONE,NONE,NONE,PC_INC,1,0,0
0x38,2,"JR C,e M2",PC,TEMP_Z,REG_MEM,CHECK_CC,PC_INC,1,0,0
0x38,3,"JR C,e M3",NONE,NONE,NONE,JR_ADD,NONE,0,0,1
0xCD,1,CALL nn M1,PC,NONE,NONE,NONE,PC_INC,1,0,0
0xCD,2,CALL nn M2,PC,TEMP_Z,REG_MEM,NONE,PC_INC,1,0,0
